"ID","Case Number","Date","Block","IUCR","Primary Type","Description","Location Description","Arrest","Domestic","Beat","District","Ward","Community Area","FBI Code","X Coordinate","Y Coordinate","Year","Updated On","Latitude","Longitude","Location"
"14090479","JK124126","01/20/2026 12:00:00 AM","020XX N KEELER AVE","1585","SEX OFFENSE","OTHER","RESIDENCE","false","true","2522","025","35","20","17","1148054","1913198","2026","01/27/2026 03:42:14 PM","41,917764415","-87,731473377","POINT (-87.731473377 41.917764415)"
"14089501","JK123347","01/20/2026 12:00:00 AM","017XX E 72ND ST","0890","THEFT","FROM BUILDING","APARTMENT","false","false","0324","003","7","43","06","1189209","1857587","2026","01/27/2026 03:42:14 PM","41,764273074","-87,582057311","POINT (-87.582057311 41.764273074)"
"14088667","JK122223","01/20/2026 12:00:00 AM","106XX S DREW ST","0281","CRIMINAL SEXUAL ASSAULT","NON-AGGRAVATED","RESIDENCE","false","false","2212","022","19","72","02","1166881","1834219","2026","01/27/2026 03:42:14 PM","41,700653799","-87,664560263","POINT (-87.664560263 41.700653799)"
"14088735","JK122380","01/20/2026 12:00:00 AM","079XX S VERNON AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","APARTMENT","false","false","0624","006","6","44","14","1180622","1852405","2026","01/27/2026 03:42:14 PM","41,750254604","-87,613689346","POINT (-87.613689346 41.750254604)"
"14090597","JK121956","01/20/2026 12:00:00 AM","011XX W WILSON AVE","4387","OTHER OFFENSE","VIOLATE ORDER OF PROTECTION","COLLEGE / UNIVERSITY - GROUNDS","false","true","1913","019","46","3","26","1167612","1930696","2026","01/27/2026 03:42:14 PM","41,96538061","-87,659110921","POINT (-87.659110921 41.96538061)"
"14088087","JK121376","01/20/2026 12:00:00 AM","041XX W WELLINGTON AVE","051A","ASSAULT","AGGRAVATED - HANDGUN","SIDEWALK","true","false","2523","025","31","21","04A","1148137","1919622","2026","01/27/2026 03:42:14 PM","41,935390861","-87,731002633","POINT (-87.731002633 41.935390861)"
"14088371","JK121701","01/20/2026 12:00:00 AM","067XX S MERRILL AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true","0331","003","5","43","08B","1191702","1860801","2026","01/27/2026 03:42:14 PM","41,773032424","-87,572815843","POINT (-87.572815843 41.773032424)"
"14089759","JK122840","01/20/2026 12:00:00 AM","008XX W OAKDALE AVE","0820","THEFT","$500 AND UNDER","VEHICLE NON-COMMERCIAL","false","false","1933","019","44","6","06","1170147","1919804","2026","01/27/2026 03:42:14 PM","41,935437448","-87,650109603","POINT (-87.650109603 41.935437448)"
"14088405","JK121821","01/20/2026 12:00:00 AM","0000X E 112TH PL","0810","THEFT","OVER $500","APARTMENT","false","false","0531","005","9","49","06","1178433","1830383","2026","01/27/2026 03:42:14 PM","41,689873321","-87,62237719","POINT (-87.62237719 41.689873321)"
"14088065","JK121345","01/19/2026 11:49:00 PM","049XX W ERIE ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true","1532","015","37","25","08B","1143395","1903865","2026","01/27/2026 03:42:14 PM","41,892242076","-87,748824572","POINT (-87.748824572 41.892242076)"
